date,tsi_1au,tsi_true_earth
2004-01-08,1360.1076,1406.6688
2004-01-09,1360.2054,1406.6949
2004-01-10,1360.4039,1406.807
2004-01-11,1360.6061,1406.9034
2004-01-12,1360.8281,1407.0018
2004-01-13,1361.1034,1407.1275
2004-01-14,1361.2325,1407.1075
2004-01-15,1361.3161,1407.0214
2004-01-16,1361.3867,1406.877
2004-01-17,1361.4152,1406.7251
2004-01-18,1361.3488,1406.4398
2004-01-19,1361.1966,1406.0535
2004-01-20,1361.2127,1405.8164
2004-01-21,1361.3132,1405.7018
2004-01-22,1361.4756,1405.618
2004-01-23,1361.6695,1405.516
2004-01-24,1361.6787,1405.2639
2004-01-25,1361.5838,1404.8762
2004-01-26,1361.3697,1404.37
2004-01-27,1361.1701,1403.8347
2004-01-28,1361.0641,1403.42
2004-01-29,1361.0745,1403.1425
2004-01-30,1361.0894,1402.7646
2004-01-31,1361.0839,1402.4032
2004-02-01,1361.0114,1401.9567
2004-02-02,1360.9376,1401.4836
2004-02-03,1361.001,1401.1166
2004-02-04,1361.0051,1400.7087
2004-02-05,1360.8609,1400.1513
2004-02-06,1360.7598,1399.6003
2004-02-07,1360.7055,1399.0781
2004-02-08,1360.7852,1398.6781
2004-02-09,1360.9619,1398.3593
2004-02-10,1361.1314,1397.9893
2004-02-11,1361.2502,1397.628
2004-02-12,1361.2905,1397.153
2004-02-13,1361.2583,1396.5457
2004-02-14,1361.2805,1395.9993
2004-02-15,1361.3837,1395.5447
2004-02-16,1361.4641,1395.0586
2004-02-17,1361.5009,1394.4775
2004-02-18,1361.4822,1393.8623
2004-02-19,1361.4604,1393.2745
2004-02-20,1361.4369,1392.6395
2004-02-21,1361.331,1391.9459
2004-02-22,1361.0595,1391.058
2004-02-23,1360.7659,1390.1367
2004-02-24,1360.5768,1389.2838
2004-02-25,1360.2913,1388.3925
2004-02-26,1360.1405,1387.5648
2004-02-27,1360.233,1387.0684
2004-02-28,1360.6476,1386.8427
2004-02-29,1361.0029,1386.5418
2004-03-01,1361.1387,1386.0123
2004-03-02,1360.98,1385.1479
2004-03-03,1360.8733,1384.385
2004-03-04,1360.8113,1383.6483
2004-03-05,1360.8511,1382.9733
2004-03-06,1360.9757,1382.3821
2004-03-07,1361.0229,1381.7201
2004-03-08,1360.9316,1380.9139
2004-03-09,1360.7441,1379.9422
2004-03-10,1360.5858,1379.0695
2004-03-11,1360.4832,1378.2119
2004-03-12,1360.6116,1377.4715
2004-03-13,1360.7862,1376.9834
2004-03-14,1360.9735,1376.3859
2004-03-15,1361.1639,1375.8266
2004-03-16,1361.3455,1375.1694
2004-03-17,1361.3851,1374.4613
2004-03-18,1361.3062,1373.6821
2004-03-19,1361.2557,1372.7578
2004-03-20,1361.2363,1372.0215
2004-03-21,1361.1272,1371.122
2004-03-22,1360.9362,1370.1537
2004-03-23,1360.8572,1369.2597
2004-03-24,1360.9099,1368.587
2004-03-25,1361.1125,1368.0345
2004-03-26,1361.2837,1367.4157
2004-03-27,1361.2336,1366.6013
2004-03-28,1361.1005,1365.703
2004-03-29,1360.9651,1364.8158
2004-03-30,1360.7872,1363.8262
2004-03-31,1360.6668,1362.9377
2004-04-01,1360.6769,1362.1891
2004-04-02,1360.8374,1361.5912
2004-04-03,1361.011,1360.9951
2004-04-04,1361.1223,1360.3367
2004-04-05,1361.1225,1359.5405
2004-04-06,1361.1362,1358.7042
2004-04-07,1361.1099,1357.9584
2004-04-08,1361.0873,1357.1259
2004-04-09,1361.0764,1356.3866
2004-04-10,1361.0585,1355.5618
2004-04-11,1361.1414,1354.847
2004-04-12,1361.2655,1354.1748
2004-04-13,1361.2586,1353.337
2004-04-14,1361.1804,1352.4745
2004-04-15,1361.1997,1351.7878
2004-04-16,1361.2443,1351.0562
2004-04-17,1361.3007,1350.3444
2004-04-18,1361.2103,1349.4999
2004-04-19,1361.0505,1348.6088
2004-04-20,1360.9467,1347.7275
2004-04-21,1361.0118,1347.1137
2004-04-22,1361.0744,1346.4354
2004-04-23,1361.0409,1345.6891
2004-04-24,1361.0163,1344.9751
2004-04-25,1360.9914,1344.2578
2004-04-26,1361.0091,1343.5723
2004-04-27,1361.0195,1342.8453
2004-04-28,1361.0545,1342.2032
2004-04-29,1361.0753,1341.5925
2004-04-30,1361.0977,1341.0432
2004-05-01,1361.0665,1340.2745
2004-05-02,1361.0118,1339.5558
2004-05-03,1361.1081,1338.9673
2004-05-04,1361.1164,1338.2852
2004-05-05,1361.0287,1337.603
2004-05-06,1361.011,1336.941
2004-05-07,1361.0601,1336.3689
2004-05-08,1361.1031,1335.6871
2004-05-09,1361.1441,1335.145
2004-05-10,1361.1292,1334.5126
2004-05-11,1361.0518,1333.7886
2004-05-12,1360.9574,1333.0518
2004-05-13,1360.8163,1332.4121
2004-05-14,1360.6361,1331.5646
2004-05-15,1360.4792,1330.8685
2004-05-16,1360.4834,1330.307
2004-05-17,1360.694,1329.9582
2004-05-18,1360.9367,1329.6072
2004-05-19,1361.0106,1329.1806
2004-05-20,1361.057,1328.7094
2004-05-21,1361.0723,1328.2111
2004-05-22,1360.9878,1327.6419
2004-05-23,1360.8545,1327.0287
2004-05-24,1360.7188,1326.4215
2004-05-25,1360.7406,1325.9558
2004-05-26,1360.8069,1325.5868
2004-05-27,1360.8317,1325.2081
2004-05-28,1360.914,1324.8543
2004-05-29,1361.0652,1324.5775
2004-05-30,1361.1912,1324.2967
2004-05-31,1361.1609,1323.869
2004-06-01,1361.0337,1323.3399
2004-06-02,1361.0047,1322.9487
2004-06-03,1361.009,1322.5724
2004-06-04,1361.062,1322.2523
2004-06-05,1361.1168,1321.9374
2004-06-06,1361.1548,1321.6278
2004-06-07,1361.1349,1321.2662
2004-06-08,1360.8233,1320.6243
2004-06-09,1361.0483,1320.4884
2004-06-10,1361.0603,1320.3503
2004-06-11,1360.9254,1319.7539
2004-06-12,1360.9054,1319.4706
2004-06-13,1360.9305,1319.2158
2004-06-14,1360.9677,1318.9871
2004-06-15,1360.9099,1318.6657
2004-06-16,1360.7863,1318.335
2004-06-17,1360.5678,1317.8998
2004-06-18,1360.2772,1317.4134
2004-06-19,1360.0771,1317.035
2004-06-20,1359.9814,1316.7541
2004-06-21,1360.1621,1316.7873
2004-06-22,1360.4832,1316.9497
2004-06-23,1360.8112,1317.1421
2004-06-24,1361.1209,1317.3338
2004-06-25,1361.2892,1317.3941
2004-06-26,1361.2604,1317.2734
2004-06-27,1361.1469,1317.0957
2004-06-28,1361.0506,1316.931
2004-06-29,1361.0203,1316.8435
2004-06-30,1360.972,1316.7519
2004-07-01,1360.9496,1316.6926
2004-07-02,1360.9344,1316.6485
2004-07-03,1360.9668,1316.6561
2004-07-04,1361.0055,1316.6827
2004-07-05,1360.9829,1316.6567
2004-07-06,1360.9495,1316.6304
2004-07-07,1360.973,1316.6687
2004-07-08,1360.9403,1316.6601
2004-07-09,1360.8225,1316.5895
2004-07-10,1360.7772,1316.5956
2004-07-11,1360.855,1316.7357
2004-07-12,1360.9368,1316.8911
2004-07-13,1361.0867,1317.1325
2004-07-14,1361.1372,1317.285
2004-07-15,1361.0424,1317.3119
2004-07-16,1360.7758,1317.1984
2004-07-17,1360.5608,1317.1424
2004-07-18,1360.3973,1317.1482
2004-07-19,1360.1239,1317.0643
2004-07-20,1359.819,1316.9808
2004-07-21,1359.4506,1316.8349
2004-07-22,1359.284,1316.8558
2004-07-23,1359.3362,1317.1823
2004-07-24,1359.4868,1317.5844
2004-07-25,1359.8102,1318.1601
2004-07-26,1360.2664,1318.8863
2004-07-27,1360.6862,1319.6035
2004-07-28,1360.8608,1320.0555
2004-07-29,1360.8126,1320.3067
2004-07-30,1360.7065,1320.5041
2004-07-31,1360.7621,1320.8991
2004-08-01,1360.7655,1321.2352
2004-08-02,1360.7532,1321.5626
2004-08-03,1360.7235,1321.896
2004-08-04,1360.6956,1322.2056
2004-08-05,1360.667,1322.5294
2004-08-06,1360.7157,1322.9543
2004-08-07,1360.8596,1323.4791
2004-08-08,1360.9689,1323.9229
2004-08-09,1360.733,1324.2639
2004-08-10,1360.5064,1324.3576
2004-08-11,1360.0808,1324.3482
2004-08-12,1359.8207,1324.5369
2004-08-13,1360.0049,1325.1678
2004-08-14,1360.1322,1325.7489
2004-08-15,1360.4456,1326.5297
2004-08-16,1360.6989,1327.2739
2004-08-17,1360.8094,1327.9261
2004-08-18,1360.735,1328.3519
2004-08-19,1360.6652,1328.7921
2004-08-20,1360.619,1329.2824
2004-08-21,1360.6063,1329.817
2004-08-22,1360.6794,1330.4647
2004-08-23,1360.7591,1331.147
2004-08-24,1360.8078,1331.7952
2004-08-25,1360.8051,1332.3324
2004-08-26,1360.8864,1333.0097
2004-08-27,1360.9866,1333.695
2004-08-28,1361.0922,1334.484
2004-08-29,1361.0969,1335.0533
2004-08-30,1361.0274,1335.5914
2004-08-31,1360.9131,1336.1295
2004-09-01,1360.8247,1336.6613
2004-09-02,1360.9415,1337.3476
2004-09-03,1361.0565,1338.1663
2004-09-04,1361.0963,1338.8129
2004-09-05,1361.0653,1339.4071
2004-09-06,1360.9835,1339.9883
2004-09-07,1360.8173,1340.5398
2004-09-08,1360.7273,1341.082
2004-09-09,1360.8699,1341.8858
2004-09-10,1361.1881,1342.8661
2004-09-11,1361.4006,1343.7677
2004-09-12,1361.3907,1344.4632
2004-09-13,1361.1606,1344.9396
2004-09-14,1360.9039,1345.4533
2004-09-15,1360.881,1346.1149
2004-09-16,1360.9894,1346.9322
2004-09-17,1361.0276,1347.7116
2004-09-18,1360.9907,1348.432
2004-09-19,1360.9219,1349.143
2004-09-20,1360.8312,1349.6275
2004-09-21,1360.7136,1350.4929
2004-09-22,1360.6321,1351.1191
2004-09-23,1360.6913,1351.9013
2004-09-24,1360.8767,1353.2673
2004-09-25,1360.8831,1353.7082
2004-09-26,1360.9342,1354.5196
2004-09-27,1360.9323,1355.3008
2004-09-28,1360.8402,1356.0274
2004-09-29,1360.8981,1356.866
2004-09-30,1360.9187,1357.6063
2004-10-01,1360.9428,1358.3892
2004-10-02,1360.9559,1359.1694
2004-10-03,1361.0057,1359.9779
2004-10-04,1361.0794,1360.8364
2004-10-05,1361.1375,1361.7155
2004-10-06,1361.2013,1362.497
2004-10-07,1361.3104,1363.3595
2004-10-08,1361.3159,1364.1416
2004-10-09,1361.2558,1364.843
2004-10-10,1361.1443,1365.5181
2004-10-11,1361.0435,1366.1849
2004-10-12,1361.0442,1366.9953
2004-10-13,1361.0801,1367.7807
2004-10-14,1361.0802,1368.5523
2004-10-15,1361.0256,1369.284
2004-10-16,1360.985,1370.0337
2004-10-17,1360.9164,1370.7346
2004-10-18,1360.8553,1371.4505
2004-10-19,1360.8806,1372.3253
2004-10-20,1360.9095,1373.1043
2004-10-21,1361.0281,1374.0101
2004-10-22,1361.0377,1374.7513
2004-10-23,1360.9205,1375.4947
2004-10-24,1360.7204,1376.0026
2004-10-25,1360.6039,1376.6653
2004-10-26,1360.6624,1377.5269
2004-10-27,1360.7457,1378.344
2004-10-28,1360.8278,1379.0744
2004-10-29,1360.7553,1379.818
2004-10-30,1360.589,1380.3518
2004-10-31,1360.4421,1380.9228
2004-11-01,1360.3405,1381.5224
2004-11-02,1360.3439,1382.2637
2004-11-03,1360.3023,1382.8681
2004-11-04,1360.0514,1383.3019
2004-11-05,1359.8702,1383.7968
2004-11-06,1359.9513,1384.5504
2004-11-07,1360.2622,1385.5202
2004-11-08,1360.574,1386.5004
2004-11-09,1360.8773,1387.5148
2004-11-10,1361.013,1388.2875
2004-11-11,1361.1347,1389.0283
2004-11-12,1361.0987,1389.6269
2004-11-13,1360.9657,1390.1293
2004-11-14,1360.9022,1390.6942
2004-11-15,1360.8765,1391.2975
2004-11-16,1361.0143,1392.0984
2004-11-17,1361.0702,1392.7431
2004-11-18,1361.0935,1393.3672
2004-11-19,1361.187,1394.0545
2004-11-20,1361.232,1394.7027
2004-11-21,1361.231,1395.2915
2004-11-22,1361.191,1395.8198
2004-11-23,1361.214,1396.4113
2004-11-24,1361.3204,1397.0507
2004-11-25,1361.3582,1397.6059
2004-11-26,1361.3927,1398.1655
2004-11-27,1361.3951,1398.6662
2004-11-28,1361.2669,1399.0101
2004-11-29,1361.1295,1399.3347
2004-11-30,1360.99,1399.6678
2004-12-01,1360.8424,1399.9252
2004-12-02,1360.9071,1400.4388
